drugbank_id	gene	gene_name	HGNC	drug_name	drug_type	action	simplified_action	known_action	taxid
DB00001	F2	Prothrombin	HGNC:3535	Lepirudin	biotech	inhibitor	negaive	yes	9606
DB00002	C1QA	Complement C1q subcomponent subunit A	HGNC:1241	Cetuximab	biotech		other	unknown	9606
DB00002	C1QB	Complement C1q subcomponent subunit B	HGNC:1242	Cetuximab	biotech		other	unknown	9606
DB00002	C1QC	Complement C1q subcomponent subunit C	HGNC:1245	Cetuximab	biotech		other	unknown	9606
DB00002	C1R	Complement C1r subcomponent	HGNC:1246	Cetuximab	biotech		other	unknown	9606
DB00002	C1S	Complement C1s subcomponent	HGNC:1247	Cetuximab	biotech		other	unknown	9606
DB00002	EGFR	Epidermal growth factor receptor	HGNC:3236	Cetuximab	biotech	antagonist	negaive	yes	9606
DB00002	FCGR1A	High affinity immunoglobulin gamma Fc receptor I	HGNC:3613	Cetuximab	biotech		other	unknown	9606
DB00002	FCGR2A	Low affinity immunoglobulin gamma Fc region receptor II-a	HGNC:3616	Cetuximab	biotech		other	unknown	9606
DB00002	FCGR2B	Low affinity immunoglobulin gamma Fc region receptor II-b	HGNC:3618	Cetuximab	biotech		other	unknown	9606
DB00002	FCGR2C	Low affinity immunoglobulin gamma Fc region receptor II-c	HGNC:15626	Cetuximab	biotech		other	unknown	9606
DB00002	FCGR3A	Low affinity immunoglobulin gamma Fc region receptor III-A	HGNC:3619	Cetuximab	biotech		other	unknown	9606
DB00002	FCGR3B	Low affinity immunoglobulin gamma Fc region receptor III-B	HGNC:3620	Cetuximab	biotech		other	unknown	9606
DB00004	IL2RA	Interleukin-2 receptor subunit alpha	HGNC:6008	Denileukin diftitox	biotech	binder	other	yes	9606
DB00004	IL2RB	Interleukin-2 receptor subunit beta	HGNC:6009	Denileukin diftitox	biotech	agonist	positive	yes	9606
DB00004	IL2RG	Cytokine receptor common subunit gamma	HGNC:6010	Denileukin diftitox	biotech		other	unknown	9606
DB00005	C1QA	Complement C1q subcomponent subunit A	HGNC:1241	Etanercept	biotech		other	unknown	9606
DB00005	C1QB	Complement C1q subcomponent subunit B	HGNC:1242	Etanercept	biotech		other	unknown	9606
DB00005	C1QC	Complement C1q subcomponent subunit C	HGNC:1245	Etanercept	biotech		other	unknown	9606
DB00005	C1R	Complement C1r subcomponent	HGNC:1246	Etanercept	biotech		other	unknown	9606
DB00005	C1S	Complement C1s subcomponent	HGNC:1247	Etanercept	biotech		other	unknown	9606
DB00005	FCGR1A	High affinity immunoglobulin gamma Fc receptor I	HGNC:3613	Etanercept	biotech		other	unknown	9606
DB00005	FCGR2A	Low affinity immunoglobulin gamma Fc region receptor II-a	HGNC:3616	Etanercept	biotech		other	unknown	9606
DB00005	FCGR2B	Low affinity immunoglobulin gamma Fc region receptor II-b	HGNC:3618	Etanercept	biotech		other	unknown	9606
DB00005	FCGR2C	Low affinity immunoglobulin gamma Fc region receptor II-c	HGNC:15626	Etanercept	biotech		other	unknown	9606
DB00005	FCGR3A	Low affinity immunoglobulin gamma Fc region receptor III-A	HGNC:3619	Etanercept	biotech		other	unknown	9606
DB00005	FCGR3B	Low affinity immunoglobulin gamma Fc region receptor III-B	HGNC:3620	Etanercept	biotech		other	unknown	9606
DB00005	LTA	Lymphotoxin-alpha	HGNC:6709	Etanercept	biotech		other	unknown	9606
DB00005	TNF	Tumor necrosis factor	HGNC:11892	Etanercept	biotech	antibody	negaive	yes	9606
DB00005	TNFRSF1B	Tumor necrosis factor receptor superfamily member 1B	HGNC:11917	Etanercept	biotech		other	unknown	9606
DB00006	F2	Prothrombin	HGNC:3535	Bivalirudin	small molecule	inhibitor	negaive	yes	9606
DB00007	GNRHR	Gonadotropin-releasing hormone receptor	HGNC:4421	Leuprolide	biotech	agonist	positive	yes	9606
