gene	geneid	associationtype	Original DB	Sentence in the supporting publication	PMID	Protein Class	Gene Full Name	CUI	Disease	HPO Term	CUI	Disease	Semantic Type	mesh	Disease Class	DO Class	Type	omim	Type	Score	PMID Year
IL4	3565	AlteredExpression	BEFREE	Levels of serum IgE and <span class= gene  id= 17563406-15-24-28 >IL-4</span> were considerably higher in <span class= disease  id= 17563406-15-57-67 >asthmatics</span> than non-<span class= disease  id= 17563406-15-77-86 >asthmatic</span> controls.	17563406	signaling molecule	interleukin 4	C0004096	Asthma	Abnormality of the immune system; Abnormality of the respiratory system	C0004096	Asthma	Disease or Syndrome	D001249	Immune System Diseases ; Respiratory Tract Diseases	disease of anatomical entity	disease	null	disease	0.440351394001266	2008
IL4	3565	AlteredExpression	BEFREE	Increased <span class= gene  id= 24450480-0-10-14 >IL-4</span> mRNA expression and poly-aromatic hydrocarbon concentrations from children with <span class= disease  id= 24450480-0-95-101 >asthma</span>.	24450480	signaling molecule	interleukin 4	C0004096	Asthma	Abnormality of the immune system; Abnormality of the respiratory system	C0004096	Asthma	Disease or Syndrome	D001249	Immune System Diseases ; Respiratory Tract Diseases	disease of anatomical entity	disease	null	disease	0.440351394001266	2014
IL4	3565	AlteredExpression	BEFREE	However, the percent of Th2 cells, <span class= gene  id= 23786933-10-35-39 >IL-4</span> levels and expression of GATA-3 mRNA was markedly higher in patients with mild and moderate to severe <span class= disease  id= 23786933-10-142-148 >asthma</span> than in the control group.	23786933	signaling molecule	interleukin 4	C0004096	Asthma	Abnormality of the immune system; Abnormality of the respiratory system	C0004096	Asthma	Disease or Syndrome	D001249	Immune System Diseases ; Respiratory Tract Diseases	disease of anatomical entity	disease	null	disease	0.440351394001266	2014
IL4	3565	AlteredExpression	BEFREE	Our findings suggest a possible mechanism by which IL-13 and <span class= gene  id= 11509632-9-61-65 >IL-4</span> can modulate CysLT(1)R expression on monocytes and macrophages, and consequently their responsiveness to LTD(4), and thus contribute to the pathogenesis of <span class= disease  id= 11509632-9-222-228 >asthma</span> and allergic diseases.	11509632	signaling molecule	interleukin 4	C0004096	Asthma	Abnormality of the immune system; Abnormality of the respiratory system	C0004096	Asthma	Disease or Syndrome	D001249	Immune System Diseases ; Respiratory Tract Diseases	disease of anatomical entity	disease	null	disease	0.440351394001266	2001
IL4	3565	AlteredExpression	BEFREE	In the presence of different concentrations of LPS (10 ng/ml, 1 mug/ml), there was a decrease in <span class= gene  id= 17884733-9-97-101 >IL-4</span>-induced IL-5 expression without differences in both groups, indicating an intact T(H)2 response to bacterial endotoxin LPS in <span class= disease  id= 17884733-9-228-234 >asthma</span>.	17884733	signaling molecule	interleukin 4	C0004096	Asthma	Abnormality of the immune system; Abnormality of the respiratory system	C0004096	Asthma	Disease or Syndrome	D001249	Immune System Diseases ; Respiratory Tract Diseases	disease of anatomical entity	disease	null	disease	0.440351394001266	2007
IL4	3565	AlteredExpression	LHGDN	The interaction between SNPs in IL-4/IL-13 pathway significantly influence genetic control of serum IgE levels and development of childhood asthma.	16461126	signaling molecule	interleukin 4	C0004096	Asthma	Abnormality of the immune system; Abnormality of the respiratory system	C0004096	Asthma	Disease or Syndrome	D001249	Immune System Diseases ; Respiratory Tract Diseases	disease of anatomical entity	disease	null	disease	0.440351394001266	2005
IL4	3565	AlteredExpression	BEFREE	The RT-PCR analysis detected a significantly <span class= gene  id= 11132771-8-45-49 >IL-4</span>-mRNA expression in all <span class= disease  id= 11132771-8-73-82 >asthmatic</span> patients, compared with controls.	11132771	signaling molecule	interleukin 4	C0004096	Asthma	Abnormality of the immune system; Abnormality of the respiratory system	C0004096	Asthma	Disease or Syndrome	D001249	Immune System Diseases ; Respiratory Tract Diseases	disease of anatomical entity	disease	null	disease	0.440351394001266	2001
IL4	3565	AlteredExpression	LHGDN	Activation of T cells and IL-4 production may be involved not only in the basic pathogenesis of childhood asthma but also in its acute exacerbation.	15051937	signaling molecule	interleukin 4	C0004096	Asthma	Abnormality of the immune system; Abnormality of the respiratory system	C0004096	Asthma	Disease or Syndrome	D001249	Immune System Diseases ; Respiratory Tract Diseases	disease of anatomical entity	disease	null	disease	0.440351394001266	2004
IL4	3565	AlteredExpression	BEFREE	We also found that there was an obviously positive correlation between serum IgE and <span class= gene  id= 24970690-11-85-89 >IL-4</span> levels in <span class= disease  id= 24970690-11-100-109 >asthmatic</span> patients.	24970690	signaling molecule	interleukin 4	C0004096	Asthma	Abnormality of the immune system; Abnormality of the respiratory system	C0004096	Asthma	Disease or Syndrome	D001249	Immune System Diseases ; Respiratory Tract Diseases	disease of anatomical entity	disease	null	disease	0.440351394001266	2014
IL4	3565	AlteredExpression	BEFREE	In contrast, 10-6 m PGE2 significantly down-regulated IFN-gamma and <span class= gene  id= 10336593-11-68-72 >IL-4</span> mRNAs (P &lt; 0.05 for both IFN-gamma and <span class= gene  id= 10336593-11-112-116 >IL-4</span>, n = 4) in the control group, whereas this was <span class= negexp >not observed for</span> <span class= gene  id= 10336593-11-181-185 >IL-4</span> mRNA in the <span class= disease  id= 10336593-11-198-204 >asthma</span> group (n = 7).	10336593	signaling molecule	interleukin 4	C0004096	Asthma	Abnormality of the immune system; Abnormality of the respiratory system	C0004096	Asthma	Disease or Syndrome	D001249	Immune System Diseases ; Respiratory Tract Diseases	disease of anatomical entity	disease	null	disease	0.440351394001266	1999
