source	gene	source	Gene	source	Gene	associationtype	Original DB	Original DB	Original DB	Sentence in the supporting publication	PMID	Protein Class	Gene	geneid	Gene Full Name	Gene	geneid	CUI	Disease	HPO Term	CUI	Disease	Semantic Type	mesh	Disease Class	DO Class	Type	omim	Type	Score	PMID Year
ALL	183	ALL	183	ALL	183	AlteredExpression	BEFREE	BEFREE	BEFREE	In the present brief survey on new developments in the drug treatment of <span class= disease  id= 7987036-1-73-95 >essential hypertension</span>, the following issues are summarized: the treatment of hypertension in diabetics, patients with left ventricular hypertrophy, and the elderly; new antihypertensive drugs, including a hybrid (multifactorial) antihypertensive drug with both calcium and alpha 1-adrenoceptor antagonistic activity, as well as <span class= gene  id= 7987036-1-402-416 >angiotensin II</span>-receptor antagonists; and finally, gene therapy in hypertension.	7987036	enzyme modulator	AGT	183	angiotensinogen	AGT	183	C0085580	Essential Hypertension	null	C0085580	Essential Hypertension	Disease or Syndrome	C562386	null	disease of anatomical entity	disease	145500	disease	0.254892520953684	1995
ALL	183	ALL	183	ALL	183	AlteredExpression	BEFREE	BEFREE	BEFREE	The plasmatic <span class= gene  id= 21629041-1-14-29 >angiotensinogen</span> (<span class= gene  id= 21629041-1-31-34 >AGT</span>) level has been associated with <span class= disease  id= 21629041-1-67-89 >essential hypertension</span>.	21629041	enzyme modulator	AGT	183	angiotensinogen	AGT	183	C0085580	Essential Hypertension	null	C0085580	Essential Hypertension	Disease or Syndrome	C562386	null	disease of anatomical entity	disease	145500	disease	0.254892520953684	2011
ALL	1636	ALL	1636	ALL	1636	AlteredExpression	BEFREE	BEFREE	BEFREE	Effect of <span class= gene  id= 18200034-0-10-13 >ACE</span> inhibitors and beta-blockers on homocysteine levels in <span class= disease  id= 18200034-0-69-91 >essential hypertension</span>.	18200034	null	ACE	1636	angiotensin I converting enzyme	ACE	1636	C0085580	Essential Hypertension	null	C0085580	Essential Hypertension	Disease or Syndrome	C562386	null	disease of anatomical entity	disease	145500	disease	0.022671298020428	2008
ALL	1636	ALL	1636	ALL	1636	AlteredExpression	BEFREE	BEFREE	BEFREE	The detection of circulating <span class= gene  id= 24098401-12-29-32 >ACE</span> mRNA expression by FQ-RT-PCR might be a useful method for early screening and monitoring of <span class= disease  id= 24098401-12-125-127 >EH</span>.	24098401	null	ACE	1636	angiotensin I converting enzyme	ACE	1636	C0085580	Essential Hypertension	null	C0085580	Essential Hypertension	Disease or Syndrome	C562386	null	disease of anatomical entity	disease	145500	disease	0.022671298020428	2013
ALL	1636	ALL	1636	ALL	1636	AlteredExpression	BEFREE	BEFREE	BEFREE	Angiotensinogen was selected because of the putative link between it and mild to moderate <span class= disease  id= 8989734-5-90-112 >essential hypertension</span> and nephrosclerosis; <span class= gene  id= 8989734-5-134-163 >angiotensin-converting enzyme</span> because of its possible contribution to diabetic nephropathy; and renin, the angiotensin II receptor, and kallikrein because of their roles in hypertension and renal perfusion.	8989734	null	ACE	1636	angiotensin I converting enzyme	ACE	1636	C0085580	Essential Hypertension	null	C0085580	Essential Hypertension	Disease or Syndrome	C562386	null	disease of anatomical entity	disease	145500	disease	0.022671298020428	1997
ALL	5972	ALL	5972	ALL	5972	AlteredExpression	BEFREE	BEFREE	BEFREE	We evaluated hemodynamic (blood pressure, cardiac output, systemic vascular resistance, stroke volume, and cardiac contractility) and biochemical (plasma drug, catecholamine, <span class= gene  id= 9663918-4-175-180 >renin</span>, and chromogranin A levels) responses to alpha2-adrenergic blockade with intravenous yohimbine in 84 normotensive subjects stratified by genetic risk of <span class= disease  id= 9663918-4-334-356 >essential hypertension</span> (67 with positive family histories and 17 with negative family histories of hypertension), as well as 18 subjects with established <span class= disease  id= 9663918-4-488-510 >essential hypertension</span>.	9663918	protease; hydrolase	REN	5972	renin	REN	5972	C0085580	Essential Hypertension	null	C0085580	Essential Hypertension	Disease or Syndrome	C562386	null	disease of anatomical entity	disease	145500	disease	0.017582514189638	1998
ALL	5972	ALL	5972	ALL	5972	AlteredExpression	BEFREE	BEFREE	BEFREE	The activity of the <span class= gene  id= 8989733-1-20-25 >renin</span>-angiotensin-aldosterone system is thought to play a significant role in the development of target organ damage in <span class= disease  id= 8989733-1-140-162 >essential hypertension</span>.	8989733	protease; hydrolase	REN	5972	renin	REN	5972	C0085580	Essential Hypertension	null	C0085580	Essential Hypertension	Disease or Syndrome	C562386	null	disease of anatomical entity	disease	145500	disease	0.017582514189638	1997
ALL	5972	ALL	5972	ALL	5972	AlteredExpression	BEFREE	BEFREE	BEFREE	These data suggest that an I/D polymorphism of the angiotensin I-converting enzyme gene is a genetic factor associated with salt sensitivity of blood pressure independently of plasma <span class= gene  id= 8613205-7-183-188 >renin</span> activity in Japanese patients with <span class= disease  id= 8613205-7-224-246 >essential hypertension</span>.	8613205	protease; hydrolase	REN	5972	renin	REN	5972	C0085580	Essential Hypertension	null	C0085580	Essential Hypertension	Disease or Syndrome	C562386	null	disease of anatomical entity	disease	145500	disease	0.017582514189638	1996
ALL	5972	ALL	5972	ALL	5972	AlteredExpression	BEFREE	BEFREE	BEFREE	To evaluate whether the T235 variant is associated with a higher incidence of <span class= disease  id= 9663923-4-78-100 >essential hypertension</span> among Hispanics (a group that has scarcely been evaluated) and to determine whether T235 is associated with variations in the plasma <span class= gene  id= 9663923-4-234-239 >renin</span> activity or the serum aldosterone level.	9663923	protease; hydrolase	REN	5972	renin	REN	5972	C0085580	Essential Hypertension	null	C0085580	Essential Hypertension	Disease or Syndrome	C562386	null	disease of anatomical entity	disease	145500	disease	0.017582514189638	1998
ALL	1585	ALL	1585	ALL	1585	AlteredExpression	BEFREE	BEFREE	BEFREE	Altered control of <span class= gene  id= 12788845-1-19-39 >aldosterone synthase</span> (<span class= gene  id= 12788845-1-41-48 >CYP11B2</span>) gene expression may modulate aldosterone secretion, as suggested by a raised aldosterone to renin ratio (ARR) in some patients with <span class= disease  id= 12788845-1-182-204 >essential hypertension</span>.	12788845	null	CYP11B2	1585	cytochrome P450 family 11 subfamily B member 2	CYP11B2	1585	C0085580	Essential Hypertension	null	C0085580	Essential Hypertension	Disease or Syndrome	C562386	null	disease of anatomical entity	disease	145500	disease	0.007626837423337	2003
