DATE ADDED TO CATALOG	PUBMEDID	FIRST AUTHOR	DATE	JOURNAL	LINK	STUDY	DISEASE/TRAIT	INITIAL SAMPLE SIZE	REPLICATION SAMPLE SIZE	REGION	CHR_ID	CHR_POS	REPORTED GENE(S)	MAPPED_GENE	UPSTREAM_GENE_ID	DOWNSTREAM_GENE_ID	SNP_GENE_IDS	UPSTREAM_GENE_DISTANCE	DOWNSTREAM_GENE_DISTANCE	STRONGEST SNP-RISK ALLELE	SNPS	MERGED	SNP_ID_CURRENT	CONTEXT	INTERGENIC	RISK ALLELE FREQUENCY	P-VALUE	PVALUE_MLOG	P-VALUE (TEXT)	OR or BETA	95% CI (TEXT)	PLATFORM [SNPS PASSING QC]	CNV
2008-06-16	17611496	Moffatt MF	2007-07-26	Nature	www.ncbi.nlm.nih.gov/pubmed/17611496	Genetic variants regulating ORMDL3 expression contribute to the risk of childhood asthma.	Asthma	994 European ancestry cases, 1,243 European ancestry controls	200 European ancestry cases, 2,120 European ancestry controls	17q21.1	17	39913696	ORMDL3	GSDMB			55876			rs7216389-T	rs7216389	0	7216389	intron_variant	0	0.52	9E-11	10.0457574905607		1.45	[1.17-1.81]	Illumina [307328]	N
2009-02-28	19187332	Kim SH	2009-02-01	Clin Exp Allergy	www.ncbi.nlm.nih.gov/pubmed/19187332	Alpha-T-catenin (CTNNA3) gene was identified as a risk variant for toluene diisocyanate-induced asthma by genome-wide association analysis.	Asthma (toluene diisocyanate-induced)	84 Korean ancestry cases, 263 Korean ancestry controls	NA	13q12.13	13	26841536	intergenic	GPR12 - FGFR1OP2P1	2835	100873883		80750	63952	rs9319321-T	rs9319321	0	9319321	intergenic_variant	1	0.29	3E-06	5.52287874528034		5.2	[2.47-10.92]	Affymetrix [312978]	N
2009-02-28	19187332	Kim SH	2009-02-01	Clin Exp Allergy	www.ncbi.nlm.nih.gov/pubmed/19187332	Alpha-T-catenin (CTNNA3) gene was identified as a risk variant for toluene diisocyanate-induced asthma by genome-wide association analysis.	Asthma (toluene diisocyanate-induced)	84 Korean ancestry cases, 263 Korean ancestry controls	NA	10q21.3	10	66328750	CTNNA3	CTNNA3			29119			rs10762058-G	rs10762058	0	10762058	intron_variant	0	0.25	6E-06	5.22184874961636		5	[2.36-10.6]	Affymetrix [312978]	N
2009-02-28	19187332	Kim SH	2009-02-01	Clin Exp Allergy	www.ncbi.nlm.nih.gov/pubmed/19187332	Alpha-T-catenin (CTNNA3) gene was identified as a risk variant for toluene diisocyanate-induced asthma by genome-wide association analysis.	Asthma (toluene diisocyanate-induced)	84 Korean ancestry cases, 263 Korean ancestry controls	NA	9p21.3	9	20098713	intergenic	SLC24A2			25769			rs16937883-G	rs16937883	0	16937883	intergenic_variant	0	0.02	7E-06	5.15490195998574		5.29	[2.41-11.61]	Affymetrix [312978]	N
2009-03-01	19198610	Gudbjartsson DF	2009-02-08	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/19198610	Sequence variants affecting eosinophil numbers associate with asthma and myocardial infarction.	Eosinophil counts	9,392 European ancestry individuals	12,118 European ancestry individuals, 5,212 East Asian ancestry individuals	2q12.1	2	102341256	IL1RL1	IL1RL1			9173			rs1420101-A	rs1420101	0	1420101	synonymous_variant	0	0.41	5E-14	13.301029995664	(EA)	6.4	[4.7-8.1] % standard unit increase	Illumina [312179]	N
2009-03-01	19198610	Gudbjartsson DF	2009-02-08	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/19198610	Sequence variants affecting eosinophil numbers associate with asthma and myocardial infarction.	Eosinophil counts	9,392 European ancestry individuals	12,118 European ancestry individuals, 5,212 East Asian ancestry individuals	2q34	2	212959321	IKZF2	LOC102725082			102725082			rs12619285-G	rs12619285	0	12619285	intron_variant	0	0.74	5E-10	9.30102999566398	(EA)	6.3	[4.3-8.3] % standard unit increase	Illumina [312179]	N
2009-03-01	19198610	Gudbjartsson DF	2009-02-08	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/19198610	Sequence variants affecting eosinophil numbers associate with asthma and myocardial infarction.	Eosinophil counts	9,392 European ancestry individuals	12,118 European ancestry individuals, 5,212 East Asian ancestry individuals	3q21.3	3	128541707	GATA2	TMED10P2 - LINC01565	100129727	23434		2876	30293	rs4857855-T	rs4857855	0	4857855	downstream_gene_variant	1	0.82	9E-17	16.0457574905607	(EA)	9.4	[7.2-11.6] % standard unit increase	Illumina [312179]	N
2009-03-01	19198610	Gudbjartsson DF	2009-02-08	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/19198610	Sequence variants affecting eosinophil numbers associate with asthma and myocardial infarction.	Eosinophil counts	9,392 European ancestry individuals	12,118 European ancestry individuals, 5,212 East Asian ancestry individuals	12q24.12	12	111446804	SH2B3	SH2B3			10019			rs3184504-T	rs3184504	0	3184504	missense_variant	0	0.38	7E-19	18.1549019599857	(EA)	7.6	[5.9-9.3] % standard unit increase	Illumina [312179]	N
2009-03-01	19198610	Gudbjartsson DF	2009-02-08	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/19198610	Sequence variants affecting eosinophil numbers associate with asthma and myocardial infarction.	Eosinophil counts	9,392 European ancestry individuals	12,118 European ancestry individuals, 5,212 East Asian ancestry individuals	5q31.1	5	132527285	IL5	IRF1 - IL5	3659	3567		36496	11909	rs4143832-C	rs4143832	0	4143832	intron_variant	1	0.16	1E-10	10	(EA)	7.1	[4.9-9.2] % standard unit increase	Illumina [312179]	N
2009-03-01	19198610	Gudbjartsson DF	2009-02-08	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/19198610	Sequence variants affecting eosinophil numbers associate with asthma and myocardial infarction.	Eosinophil counts	9,392 European ancestry individuals	12,118 European ancestry individuals, 5,212 East Asian ancestry individuals	5q22.1	5	111099792	TSLP, WDR36	WDR36			134430			rs2416257-G	rs2416257	0	2416257	intron_variant	0	0.85	1E-06	6	(EA)	6.1	[3.7-8.6] % standard unit increase	Illumina [312179]	N
