chrom	pos	rsid	rsid_reported	gene	tissue	source	cis_trans	CHR_ID	CHR_POS	MAPPED_GENE	CONTEXT	P-VALUE	DISEASE/TRAIT	PUBMEDID
6	32076499.0	rs2269426	rs2269426	LIMS1	whole blood	Westra et al.	trans	6.0	32108722.0	TNXB	intron_variant	3e-06	Eosinophil counts	19198610
6	32076499.0	rs2269426	rs2269426	XRCC6	whole blood	Westra et al.	trans	6.0	32108722.0	TNXB	intron_variant	3e-06	Eosinophil counts	19198610
6	32076499.0	rs2269426	rs2269426	TMEM154	whole blood	Westra et al.	trans	6.0	32108722.0	TNXB	intron_variant	3e-06	Eosinophil counts	19198610
6	32076499.0	rs2269426	rs2269426	BTN3A2	whole blood	Joehanes et al.	trans	6.0	32108722.0	TNXB	intron_variant	3e-06	Eosinophil counts	19198610
6	32076499.0	rs2269426	rs2269426	TUBB	whole blood	Joehanes et al.	trans	6.0	32108722.0	TNXB	intron_variant	3e-06	Eosinophil counts	19198610
6	32076499.0	rs2269426	rs2269426	BTN3A1	whole blood	Joehanes et al.	trans	6.0	32108722.0	TNXB	intron_variant	3e-06	Eosinophil counts	19198610
6	32155581.0	rs204993	rs204993	AE000660.1-5	whole blood	Westra et al.	trans	6.0	32187804.0	PBX2	intron_variant	2e-15	Asthma	21804548
6	32155581.0	rs204993	rs204993	U66060.1-23	whole blood	Westra et al.	trans	6.0	32187804.0	PBX2	intron_variant	2e-15	Asthma	21804548
6	32155581.0	rs204993	rs204993	TUBB	whole blood	Joehanes et al.	trans	6.0	32187804.0	PBX2	intron_variant	2e-15	Asthma	21804548
6	32155581.0	rs204993	rs204993	LINC00243	whole blood	Joehanes et al.	trans	6.0	32187804.0	PBX2	intron_variant	2e-15	Asthma	21804548
6	32155581.0	rs204993	rs204993	TRIM26	whole blood	Joehanes et al.	trans	6.0	32187804.0	PBX2	intron_variant	2e-15	Asthma	21804548
6	32155581.0	rs204993	rs204993	BTN3A2	whole blood	Joehanes et al.	trans	6.0	32187804.0	PBX2	intron_variant	2e-15	Asthma	21804548
6	32155581.0	rs204993	rs204993	HLA-F-AS1	whole blood	Joehanes et al.	trans	6.0	32187804.0	PBX2	intron_variant	2e-15	Asthma	21804548
6	32155581.0	rs204993	rs204993	TRIM10	whole blood	Joehanes et al.	trans	6.0	32187804.0	PBX2	intron_variant	2e-15	Asthma	21804548
6	32155581.0	rs204993	rs204993	BTN3A1	whole blood	Joehanes et al.	trans	6.0	32187804.0	PBX2	intron_variant	2e-15	Asthma	21804548
6	32338695.0	rs3129943	rs3129943	U66060.1-23	whole blood	Westra et al.	trans	6.0	32370918.0	LOC101929163, C6orf10	intron_variant	3e-15	Asthma	21804548
6	32338695.0	rs3129943	rs3129943	HIST1H4J	whole blood	Joehanes et al.	trans	6.0	32370918.0	LOC101929163, C6orf10	intron_variant	3e-15	Asthma	21804548
6	32338695.0	rs3129943	rs3129943	HIST1H4K	whole blood	Joehanes et al.	trans	6.0	32370918.0	LOC101929163, C6orf10	intron_variant	3e-15	Asthma	21804548
6	32338695.0	rs3129943	rs3129943	HIST1H4L	whole blood	Joehanes et al.	trans	6.0	32370918.0	LOC101929163, C6orf10	intron_variant	3e-15	Asthma	21804548
6	32338695.0	rs3129943	rs3129943	HIST2H4A	whole blood	Joehanes et al.	trans	6.0	32370918.0	LOC101929163, C6orf10	intron_variant	3e-15	Asthma	21804548
6	32338695.0	rs3129943	rs3129943	HIST2H4B	whole blood	Joehanes et al.	trans	6.0	32370918.0	LOC101929163, C6orf10	intron_variant	3e-15	Asthma	21804548
6	32338695.0	rs3129943	rs3129943	HIST4H4	whole blood	Joehanes et al.	trans	6.0	32370918.0	LOC101929163, C6orf10	intron_variant	3e-15	Asthma	21804548
6	32338695.0	rs3129943	rs3129943	ZNRD1-AS1	whole blood	Joehanes et al.	trans	6.0	32370918.0	LOC101929163, C6orf10	intron_variant	3e-15	Asthma	21804548
6	32338695.0	rs3129943	rs3129943	HIST1H4I	whole blood	Joehanes et al.	trans	6.0	32370918.0	LOC101929163, C6orf10	intron_variant	3e-15	Asthma	21804548
6	32338695.0	rs3129943	rs3129943	IER3	whole blood	Joehanes et al.	trans	6.0	32370918.0	LOC101929163, C6orf10	intron_variant	3e-15	Asthma	21804548
6	32338695.0	rs3129943	rs3129943	BTN3A1	whole blood	Joehanes et al.	trans	6.0	32370918.0	LOC101929163, C6orf10	intron_variant	3e-15	Asthma	21804548
6	32338695.0	rs3129943	rs3129943	BTN3A2	whole blood	Joehanes et al.	trans	6.0	32370918.0	LOC101929163, C6orf10	intron_variant	3e-15	Asthma	21804548
6	32338695.0	rs3129943	rs3129943	TUBB	whole blood	Joehanes et al.	trans	6.0	32370918.0	LOC101929163, C6orf10	intron_variant	3e-15	Asthma	21804548
6	32338695.0	rs3129943	rs3129943	TRIM10	whole blood	Joehanes et al.	trans	6.0	32370918.0	LOC101929163, C6orf10	intron_variant	3e-15	Asthma	21804548
