chrom	pos	rsid	rsid_reported	gene	tissue	source	cis_trans	CHR_ID	CHR_POS	MAPPED_GENE	CONTEXT	P-VALUE	DISEASE/TRAIT	PUBMEDID
1	113189053.0	rs10745332	rs10745332	RHOC	whole blood	Westra et al.	cis	1	112646431	CAPZA1	intron_variant	3e-09	Hypertension	25249183
1	113189053.0	rs10745332	rs10745332	RHOC	whole blood	Westra et al.	cis	1	112646431	CAPZA1	intron_variant	3e-09	Systolic blood pressure	25249183
1	113189053.0	rs10745332	rs10745332	RHOC	whole blood	Westra et al.	cis	1	112646431	CAPZA1	intron_variant	8e-08	Diastolic blood pressure	25249183
1	113189053.0	rs10745332	rs10745332	CAPZA1	whole blood	Joehanes et al.	cis	1	112646431	CAPZA1	intron_variant	3e-09	Hypertension	25249183
1	113189053.0	rs10745332	rs10745332	CAPZA1	whole blood	Joehanes et al.	cis	1	112646431	CAPZA1	intron_variant	3e-09	Systolic blood pressure	25249183
1	113189053.0	rs10745332	rs10745332	CAPZA1	whole blood	Joehanes et al.	cis	1	112646431	CAPZA1	intron_variant	8e-08	Diastolic blood pressure	25249183
1	113189053.0	rs10745332	rs10745332	ST7L	whole blood	Joehanes et al.	cis	1	112646431	CAPZA1	intron_variant	3e-09	Hypertension	25249183
1	113189053.0	rs10745332	rs10745332	ST7L	whole blood	Joehanes et al.	cis	1	112646431	CAPZA1	intron_variant	3e-09	Systolic blood pressure	25249183
1	113189053.0	rs10745332	rs10745332	ST7L	whole blood	Joehanes et al.	cis	1	112646431	CAPZA1	intron_variant	8e-08	Diastolic blood pressure	25249183
1	113189053.0	rs10745332	rs10745332	BAZ2B	whole blood	Joehanes et al.	cis	1	112646431	CAPZA1	intron_variant	3e-09	Hypertension	25249183
1	113189053.0	rs10745332	rs10745332	BAZ2B	whole blood	Joehanes et al.	cis	1	112646431	CAPZA1	intron_variant	3e-09	Systolic blood pressure	25249183
1	113189053.0	rs10745332	rs10745332	BAZ2B	whole blood	Joehanes et al.	cis	1	112646431	CAPZA1	intron_variant	8e-08	Diastolic blood pressure	25249183
1	113189053.0	rs10745332	.	RP4-671G15.2	Brain_Cerebellum	GTEx_v6	cis	1	112646431	CAPZA1	intron_variant	3e-09	Hypertension	25249183
1	113189053.0	rs10745332	.	RP4-671G15.2	Brain_Cerebellum	GTEx_v6	cis	1	112646431	CAPZA1	intron_variant	3e-09	Systolic blood pressure	25249183
1	113189053.0	rs10745332	.	RP4-671G15.2	Brain_Cerebellum	GTEx_v6	cis	1	112646431	CAPZA1	intron_variant	8e-08	Diastolic blood pressure	25249183
1	113189053.0	rs10745332	.	ST7L	Nerve_Tibial	GTEx_v6	cis	1	112646431	CAPZA1	intron_variant	3e-09	Hypertension	25249183
1	113189053.0	rs10745332	.	ST7L	Nerve_Tibial	GTEx_v6	cis	1	112646431	CAPZA1	intron_variant	3e-09	Systolic blood pressure	25249183
1	113189053.0	rs10745332	.	ST7L	Nerve_Tibial	GTEx_v6	cis	1	112646431	CAPZA1	intron_variant	8e-08	Diastolic blood pressure	25249183
1	113189053.0	rs10745332	.	RP4-671G15.2	Brain_Cortex	GTEx_v6	cis	1	112646431	CAPZA1	intron_variant	3e-09	Hypertension	25249183
1	113189053.0	rs10745332	.	RP4-671G15.2	Brain_Cortex	GTEx_v6	cis	1	112646431	CAPZA1	intron_variant	3e-09	Systolic blood pressure	25249183
1	113189053.0	rs10745332	.	RP4-671G15.2	Brain_Cortex	GTEx_v6	cis	1	112646431	CAPZA1	intron_variant	8e-08	Diastolic blood pressure	25249183
1	113189053.0	rs10745332	.	ST7L	Artery_Aorta	GTEx_v6	cis	1	112646431	CAPZA1	intron_variant	3e-09	Hypertension	25249183
1	113189053.0	rs10745332	.	ST7L	Artery_Aorta	GTEx_v6	cis	1	112646431	CAPZA1	intron_variant	3e-09	Systolic blood pressure	25249183
1	113189053.0	rs10745332	.	ST7L	Artery_Aorta	GTEx_v6	cis	1	112646431	CAPZA1	intron_variant	8e-08	Diastolic blood pressure	25249183
